month,prime,political,index,GDP,season,CPI
07-Jan,6,Liberal,109.5,2.06274769,winter,111.1
07-Apr,6,Liberal,113.3,2.06274769,spring,111.6
07-Jul,6.25,Liberal,116,2.06274769,summer,112
07-Nov,6.25,Liberal,118.1,2.06274769,fall,111.9
08-Jan,5.88,Liberal,118.5,1.000360973,winter,111.8
08-Apr,5,Liberal,120.7,1.000360973,spring,113.5
08-Jul,4.75,Liberal,120.2,1.000360973,summer,115.7
08-Oct,4.5,Liberal,118.4,1.000360973,fall,114.5
09-Jan,3.25,Liberal,113.9,-2.949587643,winter,113
09-Jun,2.25,Liberal,118.3,-2.949587643,spring,114.7
09-Jul,2.25,Liberal,120,-2.949587643,summer,114.7
09-Oct,2.25,Liberal,125.1,-2.949587643,fall,114.6
10-Mar,2.25,Liberal,132.2,3.08351422,winter,115.6
10-Apr,2.25,Liberal,133.1,3.08351422,spring,116
10-Sep,2.88,Liberal,131.3,3.08351422,summer,116.9
10-Oct,3,Liberal,131.5,3.08351422,fall,117.4
11-Mar,3,Liberal,137.3,3.141219001,winter,119.4
11-Apr,3,Liberal,138.7,3.141219001,spring,119.8
11-Sep,3,Liberal,142.3,3.141219001,summer,120.6
11-Oct,3,Liberal,143,3.141219001,fall,120.8
12-Mar,3,Liberal,148.3,1.745472283,winter,121.7
12-Apr,3,Liberal,150.1,1.745472283,spring,122.2
12-Sep,3,Liberal,150.9,1.745472283,summer,122
12-Oct,3,Liberal,150.7,1.745472283,fall,122.2
13-Mar,3,Liberal,152.9,2.475001859,winter,122.9
13-Apr,3,Liberal,154.6,2.475001859,spring,122.7
13-Sep,3,Liberal,157.4,2.475001859,summer,123.3
13-Oct,3,Liberal,157.8,2.475001859,fall,123
14-Mar,3,Liberal,163.9,2.855739204,winter,124.8
14-Apr,3,Liberal,165.6,2.855739204,spring,125.2
14-Sep,3,Liberal,169.3,2.855739204,summer,125.8
14-Oct,3,Liberal,170.3,2.855739204,fall,125.9
15-Mar,2.85,Liberal,176.8,1.000882494,winter,126.3
15-Apr,2.85,Liberal,179.7,1.000882494,spring,126.2
15-Sep,2.7,Liberal,186.9,1.000882494,summer,127.1
15-Oct,2.7,Liberal,187.5,1.000882494,fall,127.2
16-Mar,2.7,Liberal,197.5,1.414102746,winter,127.9
16-Apr,2.7,Liberal,202.4,1.414102746,spring,128.3
16-Sep,2.7,Liberal,220.1,1.414102746,summer,128.8
16-Oct,2.7,Liberal,224.2,1.414102746,fall,129.1
17-Mar,2.7,Liberal,254.3,3.047350681,winter,130.4
17-Apr,2.7,Liberal,266,3.047350681,spring,129.9
17-Sep,3.08,Liberal,247.3,3.047350681,summer,130.8
17-Oct,3.2,Liberal,246.1,3.047350681,fall,130.9
18-Mar,3.45,Liberal,250.3,2.07,winter,132.9
18-Apr,3.45,Liberal,252.1,2.07,spring,133.3
18-Sep,3.7,Conservative,252.3,2.07,summer,133.7
18-Oct,3.82,Conservative,252.6,2.07,fall,134.1
